gamma,noisy,first_order,second_order
0.0001,-35.54934795690683,-35.552715828549466,-35.552716201213926
0.0002,-35.54598008526426,-35.55271470975115,-35.55271620233657
0.0005,-35.53587870857384,-35.55270685667672,-35.552716220618095
0.001,-35.51905056047103,-35.55267866976531,-35.55271635266833
0.002,-35.485422451176646,-35.55256490613668,-35.55271733623965
0.005,-35.38476619223716,-35.55175169630653,-35.55273029881006
0.01,-35.217780688167785,-35.548772155113674,-35.55278091519432
0.02,-34.886789221221896,-35.536833681782774,-35.552500180981355
0.03,-34.55980867854158,-35.51833963921619,-35.54979307041552
0.05,-33.91735677560597,-35.47503924031646,-35.52464451215485
0.1,-32.35967431089589,-40.84027471580593,-30.221180409553114
