gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,13.619899195420185,13.619521112657134,13.619520696939098,13.619521534122807,13.619520697387745
0.0002,13.620277278182128,13.619522359618358,13.619520697205402,13.619524041976504,13.619520700691647
0.0005,13.621409032688476,13.619531083551566,13.619520701314265,13.619541532926728,13.619520755780513
0.001,13.623286981825386,13.619562208231596,13.619520732169839,13.61960357222346,13.61952116610795
0.002,13.627011755419176,13.61968645955914,13.619520979963859,13.619848479552374,13.619524422446501
0.005,13.637937715395038,13.620551374997362,13.619525168262314,13.621501164099898,13.619577593555901
0.01,13.655324055794356,13.623607230462481,13.619557214664646,13.627008180600626,13.619958360129237
0.02,13.687040881125947,13.635566864255276,13.619827247115168,13.64628029348516,13.62274476313263
0.03,13.714745341703805,13.654912473399083,13.620612207911371,13.67333470193464,13.629491697109069
0.05,13.758430760212834,13.713522291019016,13.625156881461947,13.739095343777898,13.657811056158328
0.1,13.803339229406651,13.944652279711935,13.674440413341507,15.880686550431227,13.802398148903686
