gamma,Pauli_string,energy_gap
0.0001,IIIIII,47.683730144837284
0.0001,IIIIII,47.683730144837284
0.0001,XXXXXX,47.69661446491231
0.0001,YYYYYY,47.69661446491231
0.0001,ZZZZZZ,47.683730144837284
0.0002,IIIIII,47.67728809227548
0.0002,IIIIII,47.67728809227548
0.0002,XXXXXX,47.70305542628283
0.0002,YYYYYY,47.70305542628283
0.0002,ZZZZZZ,47.67728809227548
0.0005,IIIIII,47.65796405165357
0.0005,IIIIII,47.65796405165357
0.0005,XXXXXX,47.72236522308739
0.0005,YYYYYY,47.72236522308739
0.0005,ZZZZZZ,47.65796405165357
0.001,IIIIII,47.62575996802791
0.001,IIIIII,47.62575996802791
0.001,XXXXXX,47.75454370721236
0.001,YYYYYY,47.75454370721236
0.001,ZZZZZZ,47.62575996802791
0.002,IIIIII,47.561373797465976
0.002,IIIIII,47.561373797465976
0.002,XXXXXX,47.81880731658125
0.002,YYYYYY,47.81880731658125
0.002,ZZZZZZ,47.561373797465976
0.005,IIIIII,47.368383345044805
0.005,IIIIII,47.368383345044805
0.005,XXXXXX,48.010451893370515
0.005,YYYYYY,48.010451893370515
0.005,ZZZZZZ,47.368383345044805
0.01,IIIIII,47.04737461329968
0.01,IIIIII,47.04737461329968
0.01,XXXXXX,48.32718050633791
0.01,YYYYYY,48.32718050633791
0.01,ZZZZZZ,47.04737461329968
0.02,IIIIII,46.40749023412894
0.02,IIIIII,46.40749023412894
0.02,XXXXXX,48.94883367565288
0.02,YYYYYY,48.94883367565288
0.02,ZZZZZZ,46.40749023412894
0.03,IIIIII,45.77061858167285
0.03,IIIIII,45.77061858167285
0.03,XXXXXX,49.55399058496245
0.03,YYYYYY,49.55399058496245
0.03,ZZZZZZ,45.77061858167285
0.05,IIIIII,44.49713655643806
0.05,IIIIII,44.49713655643806
0.05,XXXXXX,50.72643622788531
0.05,YYYYYY,50.72643622788531
0.05,ZZZZZZ,44.49713655643806
0.1,IIIIII,41.34456165490718
0.1,IIIIII,41.34456165490718
0.1,XXXXXX,52.88819847340524
0.1,YYYYYY,52.88819847340524
0.1,ZZZZZZ,41.34456165490718
