gamma,Pauli_string,energy_gap
0.0001,IIIIII,-14.093592305229887
0.0001,XIXZXY,-14.093660939387865
0.0001,ZYXIYY,-14.093307950882972
0.0001,YXZYXX,-14.09356599431102
0.0001,YXZZIZ,-14.093049271540645
0.0001,IYZIYX,-14.093756005637387
0.0001,IXIIYZ,-14.093450128535173
0.0001,YXXYIX,-14.092812227723021
0.0001,YXIYYZ,-14.093259999610057
0.0001,ZYXIYY,-14.093307950882972
0.0001,IZZZXX,-14.094204049680608
0.0001,YXIZII,-14.093049271540645
0.0001,ZYIZYY,-14.093756005637387
0.0001,YXXYIX,-14.092812227723021
0.0001,YXXZXZ,-14.092907044752147
0.0001,IZXZZI,-14.093144323815418
0.0001,XIXZIY,-14.093355323738251
0.0001,YXIXXY,-14.09356599431102
0.0001,ZZXYZZ,-14.093049324583333
0.0001,XZXZIX,-14.093355323738251
0.0001,XYYZZY,-14.092907241411453
0.0001,IYXXYI,-14.092907134751925
0.0001,ZZZXYX,-14.094109061786783
0.0001,XIZXIZ,-14.093402239618328
0.0001,YZZZII,-14.093497285227011
0.0001,XZIXII,-14.093402239618328
0.0001,IXYYII,-14.092601302711286
0.0001,YZXZXY,-14.093660939387865
0.0001,XZZZIX,-14.093803247092731
0.0001,ZXYYYY,-14.093212933371454
0.0001,ZZZYYI,-14.09380328062202
0.0001,IIZZYY,-14.094204049680608
0.0001,XZZYZX,-14.093708121041916
0.0001,ZZXZXX,-14.093755982250423
0.0001,YXIXYI,-14.093259999610057
0.0001,IIYZXZ,-14.093450107687408
0.0001,YZXXZX,-14.093260151671462
0.0001,YYYXIX,-14.092812227723021
0.0001,XYYYZX,-14.092812227723021
0.0001,IXZYXI,-14.093355243586757
0.0001,XXIXXZ,-14.093259999610057
0.0001,IZZIII,-14.093592305229887
0.0001,YYIZII,-14.093049271540645
0.0001,IIXIZI,-14.093144323815418
0.0001,XXYIZX,-14.092907241411453
0.0001,ZYIZZI,-14.093144221001886
0.0001,ZYXXYY,-14.093212933371454
0.0001,YXIXYI,-14.093259999610057
0.0001,YIIIIY,-14.093803247092731
0.0001,IYXYXI,-14.092907134751925
0.0001,XZZZYI,-14.093803093524581
0.0001,ZXYZXY,-14.093307950882972
0.0001,XIYZZZ,-14.093049168409284
0.0001,YXYIZX,-14.092907241411453
0.0001,XIXYZZ,-14.092954227651422
0.0001,IYXIXY,-14.093307950882972
0.0001,IIYXYI,-14.09335525158343
0.0001,XXZXZX,-14.093260071846005
0.0001,IZXYZZ,-14.093049324583333
0.0001,YIZYIZ,-14.093402239618328
0.0001,IXIYIX,-14.09335507692622
0.0001,IIXIYZ,-14.093450107687408
0.0001,YZXZYZ,-14.093355081952383
0.0001,IXZIYY,-14.093756005637387
0.0001,XYIZZY,-14.093355252436673
0.0001,ZZIXIZ,-14.093497329862473
0.0001,YXYXXY,-14.093117913837974
0.0001,XXZYIX,-14.093260071846005
0.0001,ZXXIZY,-14.093002155557015
0.0001,IXIXZZ,-14.093049161689459
0.0001,ZZYYXX,-14.093661019537489
0.0001,YIZZIZ,-14.093497285227011
0.0001,YIIIXY,-14.094109175282313
0.0001,IYXIXI,-14.093002068297459
0.0001,IYZZZX,-14.093450155029696
0.0001,ZXYZYI,-14.093002068297459
0.0001,IZXIIY,-14.093450213594904
0.0001,IIXYYX,-14.093661019537489
0.0001,XYIYZI,-14.092954169321642
0.0001,XIZYZZ,-14.093402239618328
0.0001,YIZIIZ,-14.093497285227011
0.0001,IYXXZZ,-14.092601302711286
0.0001,YYIZYZ,-14.093355095490145
0.0001,YIIXXI,-14.093708170458964
0.0001,IZIXYX,-14.094109061786783
0.0001,YXIIXY,-14.093661088286359
0.0001,XZYZZZ,-14.093049168409284
0.0001,ZYXIIZ,-14.092696294982842
0.0001,IZIZXY,-14.094204049680608
