gamma,Pauli_string,energy_gap
0.0001,IIIIII,-6.693627562689507
0.0001,IIIIII,-6.693627562689507
0.0001,XXXXXX,-6.693781368201935
0.0002,IIIIII,-6.69355112018273
0.0002,IIIIII,-6.69355112018273
0.0002,XXXXXX,-6.693858617983107
0.0005,IIIIII,-6.693319032342403
0.0005,IIIIII,-6.693319032342403
0.0005,XXXXXX,-6.694087748623869
0.001,IIIIII,-6.692929542252784
0.001,IIIIII,-6.692929542252784
0.001,XXXXXX,-6.694466808951808
0.002,IIIIII,-6.692141094002836
0.002,IIIIII,-6.692141094002836
0.002,XXXXXX,-6.695214432644014
0.005,IIIIII,-6.689707988521029
0.005,IIIIII,-6.689707988521029
0.005,XXXXXX,-6.697373030114246
0.01,IIIIII,-6.685816679016307
0.01,IIIIII,-6.685816679016307
0.01,XXXXXX,-6.700673816127663
0.02,IIIIII,-6.677539951214511
0.02,IIIIII,-6.677539951214511
0.02,XXXXXX,-6.706677205435206
0.03,IIIIII,-6.668921285901873
0.03,IIIIII,-6.668921285901873
0.03,XXXXXX,-6.711196822452505
0.05,IIIIII,-6.650886298549158
0.05,IIIIII,-6.650886298549158
0.05,XXXXXX,-6.715920326512658
0.1,IIIIII,-6.603350016091179
0.1,IIIIII,-6.603350016091179
0.1,XXXXXX,-6.6995896868315405
