t,signal,gamma
0.0,(0.999999999999999+4.161167937999366e-16j),0.03
0.0001,(0.999918607759163+0.0008498262249897852j),0.03
0.0002,(0.9998365004404249+0.0016995141534292965j),0.03
0.00030000000000000003,(0.9997536782193559+0.002549063189692117j),0.03
0.0004,(0.9996701412719993+0.00339847273834795j),0.03
0.0005,(0.999585889774923+0.0042477422041641965j),0.03
0.0006000000000000001,(0.9995009239051535+0.005096870992107027j),0.03
0.0007,(0.999415243840223+0.005945858507341146j),0.03
0.0008,(0.9993288497581525+0.006794704155229212j),0.03
0.0009000000000000001,(0.999241741837453+0.007643407341334943j),0.03
0.001,(0.9991539202571269+0.008491967471420385j),0.03
0.0011,(0.9990653851966548+0.009340383951448239j),0.03
0.0012000000000000001,(0.9989761368360206+0.010188656187582065j),0.03
0.0013000000000000002,(0.9988861753556925+0.011036783586186493j),0.03
0.0014,(0.998795500936627+0.011884765553827212j),0.03
0.0015,(0.9987041137602637+0.012732601497271878j),0.03
0.0016,(0.9986120140085383+0.013580290823489811j),0.03
0.0017000000000000001,(0.9985192018638723+0.014427832939653999j),0.03
0.0018000000000000002,(0.9984256775091787+0.015275227253139217j),0.03
0.0019,(0.9983314411278497+0.01612247317152437j),0.03
0.002,(0.9982364929037711+0.0169695701025918j),0.03
0.0021000000000000003,(0.9981408330213174+0.01781651745432802j),0.03
0.0022,(0.9980444616653429+0.018663314634924075j),0.03
0.0023,(0.9979473790211928+0.019509961052776578j),0.03
0.0024000000000000002,(0.9978495852747107+0.020356456116486447j),0.03
0.0025,(0.9977510806122057+0.021202799234860847j),0.03
0.0026000000000000003,(0.9976518652204868+0.022048989816913736j),0.03
0.0027,(0.9975519392868472+0.022895027271864325j),0.03
0.0028,(0.9974513029990582+0.023740911009140008j),0.03
0.0029000000000000002,(0.9973499565453897+0.024586640438374375j),0.03
0.003,(0.9972479001145836+0.025432214969409755j),0.03
0.0031000000000000003,(0.9971451338958824+0.026277634012295676j),0.03
0.0032,(0.9970416580789975+0.027122896977291075j),0.03
0.0033,(0.9969374728541325+0.027968003274862978j),0.03
0.0034000000000000002,(0.9968325784119842+0.02881295231568844j),0.03
0.0035,(0.996726974943714+0.029657743510653645j),0.03
0.0036000000000000003,(0.9966206626409819+0.030502376270855305j),0.03
0.0037,(0.9965136416959316+0.031346850007600076j),0.03
0.0038,(0.9964059123011829+0.03219116413240577j),0.03
0.0039000000000000003,(0.9962974746498476+0.03303531805700161j),0.03
0.004,(0.9961883289355128+0.03387931119332848j),0.03
0.0041,(0.9960784753522548+0.03472314295353912j),0.03
0.004200000000000001,(0.9959679140946298+0.03556681274999892j),0.03
0.0043,(0.9958566453576742+0.03641031999528584j),0.03
0.0044,(0.9957446693369133+0.03725366410219138j),0.03
0.0045000000000000005,(0.995631986228353+0.038096844483720006j),0.03
0.0046,(0.9955185962284695+0.03893986055309085j),0.03
0.0047,(0.9954044995342419+0.03978271172373749j),0.03
0.0048000000000000004,(0.9952896963431118+0.04062539740930782j),0.03
0.0049,(0.9951741868530131+0.04146791702366531j),0.03
0.005,(0.9950579712623496+0.042310269980888895j),0.03
0.0051,(0.9949410497700253+0.04315245569527334j),0.03
0.005200000000000001,(0.9948234225754056+0.043994473581330046j),0.03
0.0053,(0.9947050898783428+0.04483632305378699j),0.03
0.0054,(0.9945860518791709+0.04567800352758862j),0.03
0.0055000000000000005,(0.9944663087787066+0.04651951441789827j),0.03
0.0056,(0.9943458607782346+0.047360855140096164j),0.03
0.0057,(0.9942247080795403+0.04820202510978103j),0.03
0.0058000000000000005,(0.9941028508848665+0.04904302374277045j),0.03
0.0059,(0.9939802893969434+0.049883850455101124j),0.03
0.006,(0.9938570238189819+0.050724504663028774j),0.03
0.0061,(0.9937330543546753+0.05156498578302941j),0.03
0.006200000000000001,(0.9936083812081825+0.05240529323179972j),0.03
0.0063,(0.9934830045841494+0.05324542642625544j),0.03
0.0064,(0.9933569246877042+0.05408538478353492j),0.03
0.006500000000000001,(0.9932301417244401+0.05492516772099756j),0.03
0.0066,(0.9931026559004363+0.055764774656223856j),0.03
0.0067,(0.9929744674222544+0.0566042050070171j),0.03
0.0068000000000000005,(0.9928455764969176+0.057443458191403354j),0.03
0.006900000000000001,(0.9927159833319398+0.058282533627630737j),0.03
0.007,(0.9925856881353032+0.05912143073417138j),0.03
0.0071,(0.9924546911154721+0.05996014892972092j),0.03
0.007200000000000001,(0.9923229924813801+0.06079868763319993j),0.03
0.0073,(0.9921905924424481+0.06163704626375142j),0.03
0.0074,(0.992057491208557+0.06247522424074565j),0.03
0.007500000000000001,(0.9919236889900742+0.0633132209837762j),0.03
0.0076,(0.9917891859978436+0.06415103591266355j),0.03
0.0077,(0.9916539824431759+0.0649886684474541j),0.03
0.0078000000000000005,(0.9915180785378623+0.06582611800842002j),0.03
0.0079,(0.9913814744941657+0.06666338401606044j),0.03
0.008,(0.9912441705248204+0.06750046589110222j),0.03
0.0081,(0.9911061668430489+0.06833736305449926j),0.03
0.0082,(0.9909674636625283+0.06917407492743394j),0.03
0.0083,(0.9908280611974192+0.0700106009313158j),0.03
0.008400000000000001,(0.9906879596623568+0.07084694048778448j),0.03
0.0085,(0.9905471592724475+0.07168309301870818j),0.03
0.0086,(0.9904056602432683+0.07251905794618417j),0.03
0.008700000000000001,(0.9902634627908727+0.07335483469254012j),0.03
0.0088,(0.9901205671317855+0.07419042268033385j),0.03
0.0089,(0.9899769734829945+0.07502582133235354j),0.03
0.009000000000000001,(0.9898326820619786+0.07586103007161855j),0.03
0.0091,(0.9896876930866736+0.07669604832137975j),0.03
0.0092,(0.9895420067754893+0.07753087550511956j),0.03
0.009300000000000001,(0.9893956233473101+0.07836551104655239j),0.03
0.0094,(0.9892485430214883+0.07919995436962589j),0.03
0.0095,(0.9891007660178464+0.08003420489852019j),0.03
0.009600000000000001,(0.9889522925566799+0.08086826205764794j),0.03
0.0097,(0.9888031228587566+0.08170212527165699j),0.03
0.0098,(0.9886532571453077+0.08253579396542808j),0.03
0.0099,(0.9885026956380435+0.0833692675640769j),0.03
0.01,(0.9883514385591337+0.08420254549295388j),0.03
0.010100000000000001,(0.9881994861312192+0.08503562717764417j),0.03
0.0102,(0.9880468385774224+0.08586851204396881j),0.03
0.0103,(0.9878934961213173+0.08670119951798487j),0.03
0.010400000000000001,(0.9877394589869573+0.08753368902598674j),0.03
0.0105,(0.987584727398859+0.08836597999450271j),0.03
0.0106,(0.9874293015820155+0.08919807185030099j),0.03
0.010700000000000001,(0.9872731817618716+0.09002996402038647j),0.03
0.0108,(0.9871163681643546+0.09086165593200074j),0.03
0.0109,(0.9869588610158616+0.09169314701262465j),0.03
0.011000000000000001,(0.9868006605432377+0.09252443668997735j),0.03
0.0111,(0.9866417669738141+0.09335552439201711j),0.03
0.0112,(0.9864821805353776+0.09418640954694207j),0.03
0.011300000000000001,(0.9863219014561899+0.09501709158318813j),0.03
0.0114,(0.9861609299649733+0.09584756992943343j),0.03
0.0115,(0.9859992662909186+0.09667784401459595j),0.03
0.011600000000000001,(0.9858369106636717+0.09750791326783355j),0.03
0.0117,(0.9856738633133691+0.09833777711854691j),0.03
0.0118,(0.9855101244705823+0.09916743499637669j),0.03
0.0119,(0.9853456943663694+0.09999688633120642j),0.03
