t,signal,gamma
0.0,(1.000000000000001+1.9027748127120603e-17j),0.005
0.0001,(0.9999988938702231+8.041225046440864e-05j),0.005
0.0002,(0.9999977812778803+0.00016082431552644823j),0.005
0.00030000000000000003,(0.9999966622229959+0.00024123619466628703j),0.005
0.0004,(0.9999955367055798+0.00032164788736440406j),0.005
0.0005,(0.9999944047256644+0.0004020593931015673j),0.005
0.0006000000000000001,(0.9999932662832677+0.0004824707113580074j),0.005
0.0007,(0.9999921213784108+0.0005628818416146503j),0.005
0.0008,(0.9999909700111188+0.0006432927833515469j),0.005
0.0009000000000000001,(0.9999898121814138+0.0007237035360495365j),0.005
0.001,(0.9999886478893155+0.0008041140991893831j),0.005
0.0011,(0.99998747713485+0.0008845244722513112j),0.005
0.0012000000000000001,(0.9999862999180376+0.0009649346547157911j),0.005
0.0013000000000000002,(0.9999851162389026+0.0010453446460635249j),0.005
0.0014,(0.9999839260974679+0.0011257544457749925j),0.005
0.0015,(0.9999827294937507+0.0012061640533309818j),0.005
0.0016,(0.9999815264277837+0.0012865734682118966j),0.005
0.0017000000000000001,(0.9999803168995771+0.0013669826898981424j),0.005
0.0018000000000000002,(0.9999791009091629+0.0014473917178705307j),0.005
0.0019,(0.9999778784565656+0.0015278005516094644j),0.005
0.002,(0.9999766495417983+0.0016082091905956133j),0.005
0.0021000000000000003,(0.999975414164894+0.0016886176343095984j),0.005
0.0022,(0.999974172325866+0.001769025882231638j),0.005
0.0023,(0.9999729240247428+0.0018494339338427663j),0.005
0.0024000000000000002,(0.9999716692615535+0.0019298417886235227j),0.005
0.0025,(0.9999704080363099+0.002010249446054051j),0.005
0.0026000000000000003,(0.9999691403490396+0.00209065690561544j),0.005
0.0027,(0.9999678661997708+0.002171064166787803j),0.005
0.0028,(0.9999665855885183+0.0022514712290523085j),0.005
0.0029000000000000002,(0.9999652985153078+0.0023318780918889347j),0.005
0.003,(0.9999640049801669+0.0024122847547786096j),0.005
0.0031000000000000003,(0.9999627049831162+0.0024926912172019535j),0.005
0.0032,(0.999961398524175+0.002573097478639329j),0.005
0.0033,(0.9999600856033718+0.0026535035385716926j),0.005
0.0034000000000000002,(0.9999587662207345+0.002733909396479239j),0.005
0.0035,(0.9999574403762708+0.0028143150518431218j),0.005
0.0036000000000000003,(0.9999561080700252+0.0028947205041433997j),0.005
0.0037,(0.9999547693020004+0.002975125752860956j),0.005
0.0038,(0.9999534240722353+0.0030555307974761948j),0.005
0.0039000000000000003,(0.9999520723807468+0.0031359356374699725j),0.005
0.004,(0.999950714227562+0.0032163402723229327j),0.005
0.0041,(0.9999493496127003+0.0032967447015154415j),0.005
0.004200000000000001,(0.9999479785361863+0.003377148924528313j),0.005
