gamma,Pauli_string,energy_gap
0.0001,IIIIII,-7.119290524304687
0.0001,IIIIII,-7.119290524304687
0.0001,XXXXXX,-7.11942069701896
0.0002,IIIIII,-7.119225352375487
0.0002,IIIIII,-7.119225352375487
0.0002,XXXXXX,-7.1194856861484626
0.0005,IIIIII,-7.11902810746637
0.0005,IIIIII,-7.11902810746637
0.0005,XXXXXX,-7.119680251523266
0.001,IIIIII,-7.118696374108386
0.001,IIIIII,-7.118696374108386
0.001,XXXXXX,-7.119997496279008
0.002,IIIIII,-7.118020136680771
0.002,IIIIII,-7.118020136680771
0.002,XXXXXX,-7.120621262312828
0.005,IIIIII,-7.115886219057289
0.005,IIIIII,-7.115886219057289
0.005,XXXXXX,-7.122383802625333
0.01,IIIIII,-7.111958193858323
0.01,IIIIII,-7.111958193858323
0.01,XXXXXX,-7.12495756853981
0.02,IIIIII,-7.106030877264049
0.02,IIIIII,-7.106030877264049
0.02,XXXXXX,-7.13030415258328
0.03,IIIIII,-7.099335728770163
0.03,IIIIII,-7.099335728770163
0.03,XXXXXX,-7.13406472493432
0.05,IIIIII,-7.086469225660009
0.05,IIIIII,-7.086469225660009
0.05,XXXXXX,-7.137636598327119
0.1,IIIIII,-7.062000827750313
0.1,IIIIII,-7.062000827750313
0.1,XXXXXX,-7.119004953867388
