t,signal,gamma
0.0,(0.9999999999999983+1.3997050046787862e-16j),0.005
0.0001,(0.9999873303825547-0.0008349012308096464j),0.005
0.0002,(0.9999739637871319-0.0016697812103489448j),0.005
0.00030000000000000003,(0.9999599002402959-0.0025046393569944396j),0.005
0.0004,(0.9999451397691114-0.003339475089152453j),0.005
0.0005,(0.9999296824011134-0.004174287825259154j),0.005
0.0006000000000000001,(0.9999135281643367-0.00500907698378137j),0.005
0.0007,(0.9998966770872935-0.005843841983216547j),0.005
0.0008,(0.999879129198983-0.0066785822420933295j),0.005
0.0009000000000000001,(0.9998608845288889-0.0075132971789724405j),0.005
0.001,(0.9998419431069843-0.00834798621244635j),0.005
0.0011,(0.999822304963712-0.009182648761139077j),0.005
0.0012000000000000001,(0.9998019701300261-0.010017284243709134j),0.005
0.0013000000000000002,(0.9997809386373436-0.01085189207884737j),0.005
0.0014,(0.9997592105175745-0.01168647168527878j),0.005
0.0015,(0.9997367858031148-0.012521022481761915j),0.005
0.0016,(0.9997136645268391-0.013355543887090052j),0.005
0.0017000000000000001,(0.9996898467221148-0.014190035320091294j),0.005
0.0018000000000000002,(0.9996653324227935-0.01502449619962925j),0.005
0.0019,(0.9996401216632079-0.015858925944602892j),0.005
0.002,(0.9996142144781722-0.01669332397394737j),0.005
0.0021000000000000003,(0.9995876109029921-0.017527689706634205j),0.005
0.0022,(0.9995603109734603-0.01836202256167244j),0.005
0.0023,(0.9995323147258429-0.019196321958107332j),0.005
0.0024000000000000002,(0.9995036221969017-0.02003058731502309j),0.005
0.0025,(0.9994742334238748-0.020864818051541126j),0.005
0.0026000000000000003,(0.9994441484444893-0.02169901358682155j),0.005
0.0027,(0.9994133672969601-0.022533173340063842j),0.005
0.0028,(0.9993818900199807-0.023367296730505974j),0.005
0.0029000000000000002,(0.9993497166527281-0.02420138317742662j),0.005
0.003,(0.9993168472348671-0.0250354321001439j),0.005
0.0031000000000000003,(0.9992832818065531-0.02586944291801668j),0.005
0.0032,(0.9992490204084109-0.026703415050444827j),0.005
0.0033,(0.9992140630815616-0.027537347916869414j),0.005
0.0034000000000000002,(0.9991784098676071-0.02837124093677337j),0.005
0.0035,(0.9991420608086274-0.029205093529681717j),0.005
0.0036000000000000003,(0.9991050159472-0.03003890511516219j),0.005
0.0037,(0.9990672753263773-0.03087267511282506j),0.005
0.0038,(0.9990288389896883-0.031706402942324574j),0.005
0.0039000000000000003,(0.9989897069811686-0.032540088023358255j),0.005
0.004,(0.9989498793453154-0.0333737297756678j),0.005
0.0041,(0.9989093561271198-0.03420732761904007j),0.005
0.004200000000000001,(0.9988681373720598-0.03504088097330617j),0.005
0.0043,(0.9988262231260873-0.035874389258342895j),0.005
0.0044,(0.9987836134356447-0.03670785189407276j),0.005
0.0045000000000000005,(0.9987403083476643-0.03754126830046478j),0.005
0.0046,(0.998696307909546-0.038374637897534064j),0.005
0.0047,(0.9986516121691846-0.03920796010534314j),0.005
0.0048000000000000004,(0.9986062211749599-0.0400412343440016j),0.005
0.0049,(0.9985601349757309-0.04087446003366698j),0.005
0.005,(0.9985133536208365-0.04170763659454499j),0.005
0.0051,(0.9984658771601098-0.04254076344689036j),0.005
