t,signal,gamma
0.0,(1.0000000000000009+6.223320470066795e-17j),0.01
0.0001,(0.9999673504891637+0.0010090364574235956j),0.01
0.0002,(0.9999336837743319+0.0020180065512165374j),0.01
0.00030000000000000003,(0.9998989999561778+0.003026909257103873j),0.01
0.0004,(0.9998632991363936+0.004035743550945568j),0.01
0.0005,(0.9998265814176881+0.005044508408738608j),0.01
0.0006000000000000001,(0.9997888469038194+0.006053202806617574j),0.01
0.0007,(0.9997500956995624+0.00706182572085473j),0.01
0.0008,(0.9997103279107281+0.008070376127863123j),0.01
0.0009000000000000001,(0.9996695436441568+0.009078853004194695j),0.01
0.001,(0.9996277430077161+0.010087255326544529j),0.01
0.0011,(0.9995849261103041+0.011095582071750367j),0.01
0.0012000000000000001,(0.9995410930618414+0.012103832216793111j),0.01
0.0013000000000000002,(0.9994962439732848+0.013112004738799038j),0.01
0.0014,(0.9994503789566227+0.014120098615039513j),0.01
0.0015,(0.9994034981248602+0.015128112822933158j),0.01
0.0016,(0.9993556015920368+0.01613604634004622j),0.01
0.0017000000000000001,(0.9993066894732203+0.017143898144094064j),0.01
0.0018000000000000002,(0.9992567618845078+0.018151667212942063j),0.01
0.0019,(0.9992058189430173+0.01915935252460598j),0.01
0.002,(0.999153860766898+0.02016695305725382j),0.01
0.0021000000000000003,(0.9991008874753377+0.02117446778920724j),0.01
0.0022,(0.9990468991885205+0.022181895698941096j),0.01
0.0023,(0.9989918960276954+0.023189235765085706j),0.01
0.0024000000000000002,(0.9989358781151119+0.024196486966427268j),0.01
0.0025,(0.9988788455740525+0.02520364828190963j),0.01
0.0026000000000000003,(0.998820798528831+0.026210718690634054j),0.01
0.0027,(0.9987617371047784+0.0272176971718619j),0.01
0.0028,(0.9987016614282553+0.028224582705013844j),0.01
0.0029000000000000002,(0.9986405716266562+0.029231374269672566j),0.01
0.003,(0.9985784678283847+0.03023807084558265j),0.01
0.0031000000000000003,(0.9985153501628831+0.031244671412651925j),0.01
0.0032,(0.9984512187606182+0.03225117495095294j),0.01
0.0033,(0.9983860737530795+0.033257580440723335j),0.01
0.0034000000000000002,(0.9983199152727588+0.034263886862367275j),0.01
0.0035,(0.9982527434532195+0.03527009319645609j),0.01
0.0036000000000000003,(0.998184558429002+0.03627619842373006j),0.01
0.0037,(0.9981153603357062+0.03728220152509873j),0.01
0.0038,(0.998045149309932+0.038288101481641995j),0.01
0.0039000000000000003,(0.9979739254893168+0.039293897274611404j),0.01
0.004,(0.997901689012512+0.04029958788543097j),0.01
0.0041,(0.9978284400192001+0.04130517229569881j),0.01
0.004200000000000001,(0.9977541786500708+0.042310649487186984j),0.01
0.0043,(0.9976789050468723+0.04331601844184381j),0.01
0.0044,(0.9976026193523314+0.04432127814179361j),0.01
0.0045000000000000005,(0.9975253217102327+0.045326427569339287j),0.01
0.0046,(0.9974470122653514+0.04633146570696149j),0.01
0.0047,(0.9973676911635179+0.04733639153732131j),0.01
0.0048000000000000004,(0.9972873585515548+0.04834120404326042j),0.01
0.0049,(0.9972060145773306+0.049345902207802446j),0.01
0.005,(0.9971236593897096+0.05035048501415349j),0.01
0.0051,(0.9970402931386053+0.051354951445703935j),0.01
0.005200000000000001,(0.9969559159749287+0.05235930048602838j),0.01
0.0053,(0.9968705280506194+0.053363531118888356j),0.01
0.0054,(0.996784129518645+0.05436764232823144j),0.01
0.0055000000000000005,(0.9966967205329877+0.055371633098193165j),0.01
0.0056,(0.9966083012486349+0.056375502413098875j),0.01
0.0057,(0.9965188718216238+0.05737924925746322j),0.01
0.0058000000000000005,(0.9964284324089883+0.05838287261599152j),0.01
0.0059,(0.9963369831687866+0.059386371473582444j),0.01
0.006,(0.9962445242600962+0.06038974481532612j),0.01
0.0061,(0.9961510558430176+0.061392991626508346j),0.01
0.006200000000000001,(0.9960565780786707+0.062396110892608526j),0.01
0.0063,(0.9959610911291842+0.06339910159930338j),0.01
0.0064,(0.9958645951577122+0.06440196273246565j),0.01
0.006500000000000001,(0.9957670903284273+0.06540469327816768j),0.01
0.0066,(0.99566857680651+0.06640729222267958j),0.01
0.0067,(0.9955690547581804+0.06740975855247258j),0.01
0.0068000000000000005,(0.995468524350645+0.06841209125421915j),0.01
0.006900000000000001,(0.9953669857521575+0.06941428931479326j),0.01
0.007,(0.9952644391319642+0.07041635172127288j),0.01
0.0071,(0.9951608846603501+0.07141827746093939j),0.01
0.007200000000000001,(0.9950563225085836+0.07242006552128108j),0.01
0.0073,(0.9949507528489857+0.07342171488999101j),0.01
0.0074,(0.9948441758548792+0.07442322455496997j),0.01
0.007500000000000001,(0.9947365917005967+0.07542459350432763j),0.01
0.0076,(0.9946280005614806+0.07642582072638268j),0.01
0.0077,(0.9945184026139129+0.07742690520966378j),0.01
0.0078000000000000005,(0.9944077980352648+0.0784278459429122j),0.01
0.0079,(0.9942961870039317+0.07942864191508019j),0.01
0.008,(0.9941835696993357+0.08042929211533445j),0.01
0.0081,(0.9940699463018887+0.08142979553305585j),0.01
0.0082,(0.9939553169930324+0.08243015115784068j),0.01
0.0083,(0.9938396819552269+0.08343035797950163j),0.01
0.008400000000000001,(0.9937230413719215+0.08443041498806925j),0.01
0.0085,(0.9936053954276028+0.08543032117379198j),0.01
0.0086,(0.9934867443077655+0.08643007552713897j),0.01
0.008700000000000001,(0.9933670881989046+0.0874296770387992j),0.01
0.0088,(0.9932464272885386+0.08842912469968209j),0.01
0.0089,(0.9931247617651986+0.08942841750092183j),0.01
0.009000000000000001,(0.9930020918184198+0.09042755443387498j),0.01
0.0091,(0.9928784176387568+0.09142653449012265j),0.01
0.0092,(0.9927537394177675+0.0924253566614716j),0.01
0.009300000000000001,(0.9926280573480232+0.0934240199399557j),0.01
0.0094,(0.9925013716231188+0.09442252331783621j),0.01
0.0095,(0.9923736824376327+0.09542086578760284j),0.01
